freq,fft_ax,fft_ay,fft_az
102.0,55939.17209903459,225733.04977164627,8730.860923614304
104.0,26409.256305871386,5970.072955809321,2587.333576913869
106.0,21181.772190565356,7187.259555468719,3609.4160095393886
108.0,23382.27118328812,1179.9660785700269,1773.1848442056973
110.0,18215.69949251169,14620.983747023862,1424.8685183067225
112.0,26002.456173187573,14286.293461537187,1285.3151807184302
114.0,23160.677522611626,3771.2141378982506,1352.5006571926747
116.0,34596.3358239734,2482.9018416925733,1043.0468441624107
118.0,20883.1544917715,7962.316463068399,2222.4090764477064
120.0,11647.597669602048,6635.18016409614,1114.796446049087
122.0,24859.852550826094,2851.771030701859,1907.64417777863
124.0,18481.800381810113,6938.791818755589,3066.19457279416
126.0,11650.487659230026,9307.744903394376,1448.8630541035263
128.0,21764.45524138924,4534.832644206747,3281.002012475083
130.0,18428.523064387413,20949.152946172206,2262.660493736021
132.0,22353.795604496656,6118.40913218034,2763.514587368389
134.0,14104.423346999203,7616.164198865334,3784.0583493095755
136.0,13725.607543324944,9384.987837137192,5062.386044567347
138.0,24410.571125678405,13027.626897343347,3409.661291296481
140.0,9944.904621697588,15533.651503805317,1642.0456268131782
142.0,24910.662403191167,4221.920428044995,2993.355850140508
144.0,5926.572544506496,10864.082177635079,1600.0422987741417
146.0,10700.31896612777,22351.35454492269,3086.7267537454063
148.0,278767.24028812855,453052.50985251047,7569.006270220045
150.0,367891.03484914673,608628.8473272158,10279.30150840877
152.0,136402.40066741462,128775.87667215416,2961.1859242482815
154.0,33003.499848938765,13602.578512370901,2055.8067654695915
156.0,11879.67766575991,1401.535421000461,2119.431875407056
158.0,17909.28245800979,7422.7544659554205,3697.5248001617765
160.0,17492.457622614325,12101.302273853147,2911.2781727123597
162.0,3056.9698378371268,13353.42376055544,991.5839520797274
164.0,14817.865888855675,1045.4162505173601,1349.4984220459066
166.0,17176.679003291767,5959.582428046632,1845.7236962315421
168.0,6561.702883698977,3469.8375977720284,1010.3880722092139
170.0,10978.248650682606,6797.09256843469,2314.8301195867507
172.0,10761.291954846978,3012.8146480936693,3749.572201950109
